Name of preset,Alternative names,Atmosphere,business_type,section_type ,path,atmosphere_original,reviewed,motion_tag,mood_tag
Gooey_text,,"[""experimental"", ""bold"", ""graphic"", ""creative"", ""unique"", ""edgy"", ""attention-grabbing"", ""organic"", ""transformative"", ""revealing"", ""endless"", ""continuous"", ""immersive"", ""artistic"", ""impactful"", ""unconventional"", ""dynamic"", ""expressive"", ""surprising""]",,,Typographic_interactions/Gooey_text.html,"[""experimental"", ""bold"", ""graphic"", ""creative"", ""unique"", ""edgy"", ""attention-grabbing"", ""organic"", ""transformative"", ""revealing"", ""endless"", ""continuous"", ""immersive""]",2026-08-30T14:30:38,continuous,artistic
Headline_Images_Overlay,,"[""elegant"", ""sophisticated"", ""artistic"", ""high-end"", ""minimal"", ""refined"", ""graphic"", ""shape"", ""revealing"", ""transformative"", ""endless"", ""continuous"", ""immersive""]",,,Typographic_interactions/Headline_Images_Overlay.html,,2026-08-30T15:12:34,transformative,artistic
IconText Pro gallery,,"[""smooth"", ""polished"", ""clean"", ""interactive"", ""refined"", ""elegant"", ""silky"", ""organized"", ""structured"", ""alive"", ""horizontal"", ""bold""]",,,Typographic_interactions/IconText Pro gallery.html,"[""smooth"", ""polished"", ""clean"", ""interactive"", ""refined"", ""elegant"", ""minimal"", ""sophisticated"", ""silky"", ""organized"", ""structured"", ""alive"", ""horizontal""]",2026-08-30T15:20:10,horizontal,alive
Marquee_Scroll_Velocity,,"[""bold"", ""graphic"", ""impactful"", ""attention-grabbing"", ""dynamic"", ""energetic"", ""edgy"", ""endless"", ""horizontal"", ""continuous"", ""seamless"", ""flowing"", ""immersive"", ""techy""]",,,Typographic_interactions/Marquee_Scroll_Velocity.html,"[""bold"", ""graphic"", ""impactful"", ""attention-grabbing"", ""dynamic"", ""energetic"", ""edgy"", ""endless"", ""horizontal"", ""continuous"", ""seamless"", ""flowing"", ""immersive""]",2026-08-30T14:27:57,horizontal,energetic
Mindshift Transition,,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""confident"", ""elegant"", ""sophisticated"", ""revealing"", ""transformative"", ""shape"", ""horizontal"", ""gradual"", ""continuous"", ""immersive"", ""organic""]",,,Typographic_interactions/Mindshift Transition.html,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""confident"", ""elegant"", ""sophisticated"", ""revealing"", ""transformative"", ""shape"", ""horizontal"", ""gradual"", ""continuous""]",2026-08-30T14:36:40,transformative,bold
Mirror_Mouse_Track,,"[""elegant"", ""sophisticated"", ""refined"", ""interactive"", ""high-end"", ""minimal"", ""smooth"", ""alive"", ""immersive"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""spatial"", ""calm"", ""modern"", ""pointer move"", ""playful""]",,,Typographic_interactions/Mirror_Mouse_Track.html,"[""elegant"", ""sophisticated"", ""refined"", ""interactive"", ""high-end"", ""minimal"", ""smooth"", ""alive"", ""immersive"", ""depth"", ""3d"", ""dimensional"", ""perspective""]",2026-08-30T14:38:12,pointer move,playful
Paragraph_mask_scroll,,"[""bold"", ""graphic"", ""techy"", ""futuristic"", ""impactful"", ""attention-grabbing"", ""edgy"", ""polished"", ""structured"", ""staggered"", ""layered"", ""cascading"", ""revealing""]",,,Typographic_interactions/Paragraph_mask_scroll.html,,2026-08-30T14:28:38,staggered,techy
Ripple_Hover,,"[""techy"", ""futuristic"", ""bold"", ""interactive"", ""graphic"", ""edgy"", ""experimental"", ""impactful"", ""attention-grabbing"", ""alive"", ""layered"", ""staggered"", ""cascading"", ""energetic""]",,,Typographic_interactions/Ripple_Hover.html,"[""techy"", ""futuristic"", ""bold"", ""interactive"", ""graphic"", ""edgy"", ""experimental"", ""impactful"", ""attention-grabbing"", ""alive"", ""layered"", ""staggered"", ""cascading""]",2026-08-30T14:35:54,staggered,techy
RiseOfTheDead,,"[""elegant"", ""sophisticated"", ""classic"", ""refined"", ""high-end"", ""gradual"", ""smooth"", ""immersive"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""staggered"", ""gentle"", ""modern"", ""layered"", ""graceful"", ""artistic"", ""unique"", ""creative""]",,,Typographic_interactions/RiseOfTheDead.html,"[""elegant"", ""sophisticated"", ""classic"", ""refined"", ""high-end"", ""gradual"", ""smooth"", ""immersive"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""staggered""]",2026-08-30T14:18:29,depth,artistic
Scroll_Mask_Reveal,,"[""elegant"", ""clean"", ""understated"", ""graceful"", ""minimal"", ""gradual"", ""seamless"", ""revealing"", ""transformative"", ""staggered"", ""cascading"", ""smooth"", ""high-end"", ""modern"", ""silky""]",,,Typographic_interactions/Scroll_Mask_Reveal.html,"[""elegant"", ""soft"", ""refined"", ""clean"", ""understated"", ""graceful"", ""minimal"", ""gradual"", ""seamless"", ""revealing"", ""transformative"", ""staggered"", ""cascading""]",2026-08-30T15:20:56,revealing,high-end
Scroll_Paragraph_Fade,,"[""smooth"", ""gradual"", ""flowing"", ""effortless"", ""continuous"", ""elegant"", ""refined"", ""understated"", ""revealing"", ""staggered"", ""transformative"", ""vertical"", ""clean"", ""graceful"", ""classic"", ""horizontal""]",,,Typographic_interactions/Scroll_Paragraph_Fade.html,"[""smooth"", ""gradual"", ""flowing"", ""effortless"", ""continuous"", ""elegant"", ""refined"", ""understated"", ""minimal"", ""revealing"", ""staggered"", ""transformative"", ""vertical""]",2026-08-30T15:16:12,revealing,classic
Scroll_Paragraph_Reveal,,"[""smooth"", ""gradual"", ""flowing"", ""effortless"", ""continuous"", ""elegant"", ""refined"", ""understated"", ""minimal"", ""revealing"", ""staggered"", ""transformative"", ""vertical"", ""classic"", ""calm"", ""subtle"", ""soft"", ""clean""]",,,Typographic_interactions/Scroll_Paragraph_Reveal.html,"[""smooth"", ""gradual"", ""flowing"", ""effortless"", ""continuous"", ""elegant"", ""refined"", ""understated"", ""minimal"", ""revealing"", ""staggered"", ""transformative"", ""vertical""]",2026-08-30T14:30:18,revealing,classic
Scroll_Skew,,"[""bold"", ""edgy"", ""experimental"", ""graphic"", ""attention-grabbing"", ""unconventional"", ""dynamic"", ""layered"", ""horizontal"", ""depth"", ""transformative"", ""continuous"", ""artistic"", ""cool"", ""techy"", ""futuristic""]",,,Typographic_interactions/Scroll_Skew.html,"[""bold"", ""edgy"", ""experimental"", ""impactful"", ""graphic"", ""attention-grabbing"", ""unconventional"", ""dynamic"", ""layered"", ""horizontal"", ""depth"", ""transformative"", ""continuous""]",2026-08-30T15:10:08,transformative,futuristic
Strobe_Headline,,"[""bold"", ""impactful"", ""attention-grabbing"", ""futuristic"", ""techy"", ""immersive"", ""edgy"", ""cool"", ""graphic"", ""dynamic"", ""staggered"", ""polished"", ""energetic"", ""unique"", ""artistic""]",,,Typographic_interactions/Strobe_Headline.html,"[""bold"", ""impactful"", ""attention-grabbing"", ""futuristic"", ""techy"", ""immersive"", ""edgy"", ""cool"", ""graphic"", ""dynamic"", ""layered"", ""staggered"", ""polished""]",2026-08-30T14:38:32,staggered,techy
Tech_ Glitch,,"[""techy"", ""futuristic"", ""edgy"", ""experimental"", ""unconventional"", ""surprising"", ""cool"", ""graphic"", ""dynamic"", ""revealing"", ""staggered"", ""transformative"", ""vertical""]",,,Typographic_interactions/Tech_ Glitch.html,"[""techy"", ""futuristic"", ""edgy"", ""experimental"", ""unconventional"", ""surprising"", ""cool"", ""graphic"", ""dynamic"", ""revealing"", ""staggered"", ""transformative"", ""horizontal""]",2026-08-30T14:36:11,revealing,futuristic
The Iris Gate,,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""sophisticated"", ""artistic"", ""immersive"", ""gradual"", ""continuous"", ""revealing"", ""shape"", ""transformative"", ""edgy"", ""creative"", ""dynamic""]",,,Typographic_interactions/The Iris Gate.html,"[""bold"", ""impactful"", ""graphic"", ""attention-grabbing"", ""elegant"", ""sophisticated"", ""artistic"", ""immersive"", ""gradual"", ""continuous"", ""revealing"", ""shape"", ""transformative""]",2026-08-30T14:37:08,immersive,bold
Tunnel_Vision,,"[""playful"", ""bold"", ""alive"", ""interactive"", ""fun"", ""immersive"", ""surprising"", ""expressive"", ""depth"", ""dimensional"", ""layered"", ""perspective"", ""spatial"", ""3d"", ""energetic"", ""graphic"", ""artistic""]",,,Typographic_interactions/Tunnel_Vision.html,"[""playful"", ""bold"", ""alive"", ""interactive"", ""fun"", ""immersive"", ""surprising"", ""expressive"", ""depth"", ""dimensional"", ""layered"", ""perspective"", ""spatial""]",2026-08-30T15:13:59,pointer move,playful
Vshape_Headline,,"[""playful"", ""poppy"", ""fun"", ""energetic"", ""charming"", ""bold"", ""dynamic"", ""expressive"", ""staggered"", ""vertical"", ""shape"", ""cascading"", ""gradual"", ""edgy"", ""cool""]",,,Typographic_interactions/Vshape_Headline.html,"[""playful"", ""poppy"", ""fun"", ""energetic"", ""charming"", ""bold"", ""dynamic"", ""expressive"", ""staggered"", ""vertical"", ""shape"", ""cascading"", ""gradual""]",2026-08-30T14:27:19,staggered,playful
Waterfall_Text,,"[""gentle"", ""calm"", ""smooth"", ""gradual"", ""flowing"", ""elegant"", ""refined"", ""understated"", ""depth"", ""dimensional"", ""perspective"", ""cascading"", ""staggered"", ""cloudy""]",,,Typographic_interactions/Waterfall_Text.html,"[""gentle"", ""calm"", ""smooth"", ""gradual"", ""flowing"", ""elegant"", ""refined"", ""understated"", ""depth"", ""dimensional"", ""perspective"", ""cascading"", ""staggered""]",2026-08-30T11:09:15,depth,gentle
book animation,,"[""elegant"", ""refined"", ""polished"", ""sophisticated"", ""minimal"", ""structured"", ""high-end"", ""gradual"", ""depth"", ""3d"", ""dimensional"", ""perspective"", ""layered""]",,,Typographic_interactions/book animation.html,,2026-08-30T15:12:04,3d,sophisticated
cards-peel-off-scroll,,"[""elegant"", ""clean"", ""smooth"", ""polished"", ""layered"", ""depth"", ""refined"", ""structured"", ""silky"", ""cascading"", ""sophisticated"", ""effortless""]",,,Typographic_interactions/cards-peel-off-scroll.html,,2026-08-30T15:12:17,layered,sophisticated
focus-pull,,"[""clean"", ""refined"", ""elegant"", ""artistic"", ""gradual"", ""flowing"", ""revealing"", ""continuous"", ""depth"", ""effortless"", ""high-end"", ""cloudy""]",,,Typographic_interactions/focus-pull.html,"[""clean"", ""minimal"", ""understated"", ""refined"", ""elegant"", ""artistic"", ""gradual"", ""flowing"", ""revealing"", ""continuous"", ""depth"", ""effortless""]",2026-08-30T11:10:21,depth,artistic
stacked-text-cards-scroll,,"[""elegant"", ""clean"", ""smooth"", ""gentle"", ""polished"", ""layered"", ""depth"", ""refined"", ""silky"", ""structured"", ""staggered"", ""effortless"", ""flowing"", ""classic""]",,,Typographic_interactions/stacked-text-cards-scroll.html,"[""elegant"", ""clean"", ""smooth"", ""gentle"", ""polished"", ""layered"", ""depth"", ""refined"", ""silky"", ""structured"", ""staggered"", ""effortless""]",2026-08-30T14:38:54,layered,classic
text-cards-slide-in,,"[""smooth"", ""polished"", ""dimensional"", ""depth"", ""3d"", ""perspective"", ""horizontal"", ""elegant"", ""clean"", ""dynamic"", ""spatial"", ""flowing"", ""layered""]",,,Typographic_interactions/text-cards-slide-in.html,"[""smooth"", ""polished"", ""dimensional"", ""depth"", ""3d"", ""perspective"", ""horizontal"", ""elegant"", ""clean"", ""dynamic"", ""spatial"", ""flowing""]",2026-08-30T15:13:38,layered,cool
text-fade-3d-perspective,,"[""bold"", ""impactful"", ""dimensional"", ""depth"", ""3d"", ""perspective"", ""immersive"", ""graphic"", ""spatial"", ""layered"", ""confident"", ""classic""]",,,Typographic_interactions/text-fade-3d-perspective.html,"[""bold"", ""impactful"", ""dimensional"", ""depth"", ""3d"", ""perspective"", ""immersive"", ""minimal"", ""graphic"", ""sophisticated"", ""spatial"", ""layered"", ""confident""]",2026-08-30T15:15:44,depth,classic
textFoldTransition,,"[""bold"", ""graphic"", ""impactful"", ""clean"", ""minimal"", ""seamless"", ""revealing"", ""vertical"", ""staggered"", ""cascading"", ""smooth"", ""confident"", ""expressive"", ""elegant"", ""attention-grabbing"", ""circular"", ""alive""]",,,Typographic_interactions/textFoldTransition.html,"[""bold"", ""graphic"", ""impactful"", ""clean"", ""minimal"", ""seamless"", ""revealing"", ""vertical"", ""staggered"", ""cascading"", ""smooth"", ""confident""]",2026-08-30T15:18:49,circular,alive
aperture-contact-form,,"[""polished"", ""smooth"", ""elegant"", ""refined"", ""clean"", ""revealing"", ""silky"", ""depth"", ""structured"", ""gentle"", ""gradual""]",,,contact/aperture-contact-form.html,"[""polished"", ""smooth"", ""elegant"", ""interactive"", ""refined"", ""clean"", ""revealing"", ""silky"", ""depth"", ""dimensional"", ""alive"", ""effortless"", ""structured""]",2026-08-27T16:37:08,revealing,gentle
atelier-contact-form,,"[""gentle"", ""soft"", ""elegant"", ""refined"", ""clean"", ""gradual"", ""revealing"", ""smooth"", ""polished"", ""transformative""]",,,contact/atelier-contact-form.html,"[""gentle"", ""soft"", ""elegant"", ""interactive"", ""refined"", ""clean"", ""understated"", ""gradual"", ""revealing"", ""smooth"", ""polished"", ""transformative"", ""zoom""]",2026-08-27T16:40:09,revealing,gentle
atoll-contact-letter-cascade,,"[""clean"", ""minimal"", ""elegant"", ""refined"", ""smooth"", ""polished"", ""gentle"", ""effortless"", ""silky"", ""cascading"", ""staggered"", ""vertical"", ""revealing"", ""sophisticated""]",,,contact/atoll-contact-letter-cascade.html,"[""clean"", ""minimal"", ""elegant"", ""refined"", ""understated"", ""smooth"", ""polished"", ""gentle"", ""effortless"", ""silky"", ""cascading"", ""staggered"", ""vertical""]",2026-08-27T16:44:28,revealing,playful
atoll-contact-word-lift,,"[""clean"", ""minimal"", ""elegant"", ""refined"", ""understated"", ""smooth"", ""polished"", ""gentle"", ""graceful"", ""silky"", ""vertical""]",,,contact/atoll-contact-word-lift.html,"[""clean"", ""minimal"", ""elegant"", ""refined"", ""understated"", ""smooth"", ""polished"", ""gentle"", ""graceful"", ""silky"", ""vertical"", ""staggered""]",2026-08-27T16:45:17,vertical,sophisticated
cascade-flip-contact,,"[""refined"", ""structured"", ""sophisticated"", ""confident"", ""depth"", ""dimensional"", ""cascading"", ""staggered"", ""bold"", ""artistic"", ""creative"", ""energetic""]",,,contact/cascade-flip-contact.html,"[""smooth"", ""polished"", ""refined"", ""interactive"", ""structured"", ""sophisticated"", ""clean"", ""confident"", ""depth"", ""3d"", ""dimensional"", ""cascading"", ""staggered""]",2026-08-27T16:46:33,structured,artistic
iris-contact-form,,"[""smooth"", ""silky"", ""elegant"", ""gentle"", ""refined"", ""clean"", ""minimal"", ""graceful"", ""revealing"", ""circular"", ""zoom"", ""organic"", ""classic"", ""calm"", ""modern"", ""high-end""]",,,contact/iris-contact-form.html,"[""smooth"", ""silky"", ""elegant"", ""interactive"", ""gentle"", ""refined"", ""clean"", ""minimal"", ""graceful"", ""revealing"", ""circular"", ""zoom"", ""organic""]",2026-08-30T11:13:16,revealing,classic
location-image-circle-close-contact,,"[""smooth"", ""gradual"", ""clean"", ""interactive"", ""elegant"", ""minimal"", ""flowing"", ""continuous"", ""revealing"", ""circular"", ""shape"", ""transformative"", ""zoom"", ""silky""]",,,contact/location-image-circle-close-contact.html,"[""smooth"", ""gradual"", ""clean"", ""interactive"", ""elegant"", ""minimal"", ""flowing"", ""continuous"", ""revealing"", ""circular"", ""shape"", ""transformative"", ""zoom""]",2026-08-30T11:12:46,circular,classic
location-image-sides-then-centre-contact,,"[""smooth"", ""gradual"", ""clean"", ""interactive"", ""elegant"", ""minimal"", ""flowing"", ""continuous"", ""structured"", ""revealing"", ""horizontal"", ""vertical"", ""transformative"", ""organic"", ""shape"", ""classic""]",,,contact/location-image-sides-then-centre-contact.html,"[""smooth"", ""gradual"", ""clean"", ""interactive"", ""elegant"", ""minimal"", ""flowing"", ""continuous"", ""structured"", ""revealing"", ""horizontal"", ""vertical"", ""transformative""]",2026-08-30T11:14:06,transformative,cool
mail-pull-back-contact,,"[""bold"", ""impactful"", ""graphic"", ""interactive"", ""attention-grabbing"", ""confident"", ""edgy"", ""smooth"", ""polished"", ""zoom"", ""depth"", ""3d"", ""perspective""]",,,contact/mail-pull-back-contact.html,,2026-08-27T16:47:03,depth,bold
pixel-dissolve-contact,,"[""techy"", ""structured"", ""organized"", ""interactive"", ""polished"", ""smooth"", ""futuristic"", ""confident"", ""staggered"", ""cascading"", ""revealing"", ""transformative"", ""bold"", ""graphic"", ""expressive""]",,,contact/pixel-dissolve-contact.html,"[""techy"", ""structured"", ""organized"", ""interactive"", ""clean"", ""polished"", ""smooth"", ""futuristic"", ""confident"", ""staggered"", ""cascading"", ""revealing"", ""transformative""]",2026-08-30T11:14:30,structured,futuristic
plumb-contact-card-expand-to-fullscreen,,"[""elegant"", ""high-end"", ""sophisticated"", ""interactive"", ""refined"", ""smooth"", ""gradual"", ""seamless"", ""transformative"", ""zoom"", ""depth"", ""layered"", ""revealing"", ""shape"", ""gentle""]",,,contact/plumb-contact-card-expand-to-fullscreen.html,"[""elegant"", ""high-end"", ""sophisticated"", ""interactive"", ""refined"", ""smooth"", ""gradual"", ""seamless"", ""transformative"", ""zoom"", ""depth"", ""layered"", ""revealing""]",2026-08-30T11:15:18,zoom,gentle
plumb-contact-card-fade-scale-over-hero,,"[""elegant"", ""clean"", ""minimal"", ""interactive"", ""refined"", ""smooth"", ""effortless"", ""layered"", ""depth"", ""zoom"", ""revealing"", ""classic"", ""calm"", ""gentle""]",,,contact/plumb-contact-card-fade-scale-over-hero.html,"[""elegant"", ""clean"", ""minimal"", ""interactive"", ""refined"", ""sophisticated"", ""smooth"", ""gradual"", ""effortless"", ""layered"", ""depth"", ""zoom"", ""revealing""]",2026-08-30T11:15:45,revealing,gentle
plumb-contact-card,,"[""elegant"", ""clean"", ""minimal"", ""interactive"", ""refined"", ""sophisticated"", ""smooth"", ""gradual"", ""polished"", ""layered"", ""depth"", ""dimensional"", ""zoom""]",,,contact/plumb-contact-card.html,,2026-08-30T11:14:54,layered,classic
plumb-contact-form-standup,,"[""elegant"", ""sophisticated"", ""high-end"", ""interactive"", ""refined"", ""smooth"", ""gradual"", ""clean"", ""3d"", ""depth"", ""dimensional"", ""perspective"", ""spatial""]",,,contact/plumb-contact-form-standup.html,,2026-08-30T11:16:06,depth,sophisticated
serpentine-shutter-contact,,"[""polished"", ""smooth"", ""interactive"", ""refined"", ""structured"", ""revealing"", ""staggered"", ""horizontal"", ""organized"", ""transformative"", ""alive"", ""techy""]",,,contact/serpentine-shutter-contact.html,"[""clean"", ""polished"", ""smooth"", ""interactive"", ""refined"", ""structured"", ""revealing"", ""staggered"", ""horizontal"", ""minimal"", ""organized"", ""seamless"", ""transformative""]",2026-08-30T11:16:46,structured,alive
dropdown-light,,"[""clean"", ""smooth"", ""polished"", ""interactive"", ""minimal"", ""refined"", ""understated"", ""silky"", ""alive"", ""playful"", ""vertical"", ""revealing""]",,,interact-UI-elements/dropdown-light.html,"[""clean"", ""smooth"", ""polished"", ""interactive"", ""minimal"", ""refined"", ""understated"", ""silky"", ""alive"", ""playful"", ""vertical"", ""revealing"", ""zoom""]",2026-08-27T16:49:17,revealing,classic
dropdown,,"[""clean"", ""smooth"", ""polished"", ""interactive"", ""minimal"", ""refined"", ""cool"", ""silky"", ""alive"", ""vertical"", ""revealing"", ""elegant"", ""effortless"", ""charming""]",,,interact-UI-elements/dropdown.html,"[""clean"", ""smooth"", ""polished"", ""interactive"", ""minimal"", ""refined"", ""cool"", ""silky"", ""alive"", ""playful"", ""vertical"", ""revealing"", ""zoom""]",2026-08-30T13:32:50,revealing,classic
label,,"[""clean"", ""minimal"", ""structured"", ""interactive"", ""organized"", ""subtle"", ""smooth"", ""polished"", ""refined"", ""alive"", ""calm"", ""zoom"", ""shape"", ""elegant"", ""gentle"", ""soft"", ""classic"", ""transformative""]",,,interact-UI-elements/label.html,"[""clean"", ""minimal"", ""structured"", ""interactive"", ""organized"", ""subtle"", ""smooth"", ""polished"", ""refined"", ""alive"", ""calm"", ""zoom"", ""shape""]",2026-08-30T13:33:56,transformative,gentle
lock-toggle,,"[""playful"", ""charming"", ""smooth"", ""interactive"", ""polished"", ""alive"", ""fun"", ""clean"", ""minimal"", ""expressive"", ""horizontal"", ""vertical"", ""transformative"", ""innovative"", ""groovy"", ""energetic""]",,,interact-UI-elements/lock-toggle.html,"[""playful"", ""charming"", ""smooth"", ""interactive"", ""polished"", ""alive"", ""fun"", ""clean"", ""minimal"", ""expressive"", ""horizontal"", ""vertical"", ""transformative""]",2026-08-30T13:34:21,transformative,alive
menu,,"[""edgy"", ""techy"", ""futuristic"", ""interactive"", ""bold"", ""dynamic"", ""cool"", ""unique"", ""alive"", ""circular"", ""spiraling"", ""endless"", ""transformative"", ""expressive"", ""playful"", ""graphic"", ""impactful"", ""surprising"", ""fun"", ""attention-grabbing"", ""creative"", ""experimental"", ""poppy""]",,,interact-UI-elements/menu.html,"[""edgy"", ""techy"", ""futuristic"", ""interactive"", ""bold"", ""dynamic"", ""cool"", ""unique"", ""alive"", ""circular"", ""spiraling"", ""endless"", ""transformative""]",2026-08-30T13:34:43,circular,cool
on-off-toggle,,"[""smooth"", ""polished"", ""clean"", ""interactive"", ""minimal"", ""playful"", ""charming"", ""alive"", ""subtle"", ""refined"", ""horizontal"", ""circular"", ""transformative"", ""modern"", ""elegant"", ""fun"", ""soft"", ""silky"", ""gentle""]",,,interact-UI-elements/on-off-toggle.html,"[""smooth"", ""polished"", ""clean"", ""interactive"", ""minimal"", ""playful"", ""charming"", ""alive"", ""subtle"", ""refined"", ""horizontal"", ""circular"", ""transformative""]",2026-08-30T13:35:38,transformative,alive
password-input,,"[""playful"", ""charming"", ""surprising"", ""interactive"", ""fun"", ""alive"", ""clean"", ""minimal"", ""cool"", ""revealing"", ""expressive"", ""unique"", ""dynamic""]",,,interact-UI-elements/password-input.html,"[""playful"", ""charming"", ""surprising"", ""interactive"", ""fun"", ""alive"", ""poppy"", ""clean"", ""minimal"", ""techy"", ""cool"", ""zoom"", ""revealing""]",2026-08-30T13:35:12,revealing,alive
radio-buttons,,"[""playful"", ""smooth"", ""interactive"", ""polished"", ""clean"", ""minimal"", ""organized"", ""structured"", ""alive"", ""fun"", ""zoom"", ""circular"", ""charming"", ""energetic"", ""modern"", ""groovy""]",,,interact-UI-elements/radio-buttons.html,"[""poppy"", ""playful"", ""smooth"", ""interactive"", ""polished"", ""clean"", ""minimal"", ""organized"", ""structured"", ""alive"", ""fun"", ""zoom"", ""circular""]",2026-08-30T13:36:12,transformative,cool
search-input-light,,"[""smooth"", ""silky"", ""polished"", ""interactive"", ""effortless"", ""clean"", ""minimal"", ""elegant"", ""refined"", ""playful"", ""alive"", ""horizontal"", ""revealing""]",,,interact-UI-elements/search-input-light.html,,2026-08-30T13:43:40,revealing,playful
search-input,,"[""smooth"", ""polished"", ""silky"", ""effortless"", ""refined"", ""minimal"", ""clean"", ""techy"", ""alive"", ""interactive"", ""seamless"", ""elegant"", ""modern"", ""organic"", ""understated""]",,,interact-UI-elements/search-input.html,"[""smooth"", ""polished"", ""silky"", ""effortless"", ""refined"", ""minimal"", ""clean"", ""techy"", ""playful"", ""alive"", ""interactive"", ""horizontal"", ""staggered""]",2026-08-30T13:43:23,revealing,playful
smiley-nav-light,,"[""clean"", ""minimal"", ""refined"", ""understated"", ""organized"", ""structured"", ""smooth"", ""polished"", ""effortless"", ""interactive"", ""alive"", ""staggered"", ""horizontal"", ""elegant"", ""subtle""]",,,interact-UI-elements/smiley-nav-light.html,"[""clean"", ""minimal"", ""refined"", ""understated"", ""organized"", ""structured"", ""smooth"", ""polished"", ""effortless"", ""interactive"", ""alive"", ""staggered"", ""horizontal""]",2026-08-30T13:44:06,staggered,classic
smiley-nav,,"[""refined"", ""minimal"", ""clean"", ""techy"", ""sophisticated"", ""smooth"", ""polished"", ""effortless"", ""interactive"", ""alive"", ""structured"", ""organized"", ""staggered"", ""elegant""]",,,interact-UI-elements/smiley-nav.html,"[""refined"", ""minimal"", ""clean"", ""techy"", ""sophisticated"", ""smooth"", ""polished"", ""effortless"", ""interactive"", ""alive"", ""structured"", ""organized"", ""staggered""]",2026-08-30T13:43:53,staggered,techy
social-bar,,"[""refined"", ""minimal"", ""elegant"", ""techy"", ""playful"", ""charming"", ""smooth"", ""polished"", ""interactive"", ""alive"", ""horizontal"", ""revealing"", ""clean"", ""fun"", ""modern""]",,,interact-UI-elements/social-bar.html,"[""refined"", ""minimal"", ""elegant"", ""techy"", ""playful"", ""charming"", ""smooth"", ""polished"", ""interactive"", ""alive"", ""circular"", ""horizontal"", ""revealing""]",2026-08-30T13:44:51,revealing,techy
BG_Color_Invert,,"[""gradual"", ""flowing"", ""continuous"", ""effortless"", ""clean"", ""elegant"", ""minimal"", ""refined"", ""understated"", ""layered"", ""vertical"", ""revealing"", ""staggered"", ""smooth"", ""silky"", ""high-end""]",,,text_Image/BG_Color_Invert.html,"[""gradual"", ""flowing"", ""continuous"", ""effortless"", ""clean"", ""elegant"", ""minimal"", ""refined"", ""understated"", ""layered"", ""vertical"", ""revealing"", ""staggered""]",2026-08-30T13:49:45,staggered,edgy
Image_Stroll,,"[""elegant"", ""refined"", ""minimal"", ""sophisticated"", ""clean"", ""gradual"", ""flowing"", ""continuous"", ""staggered"", ""cascading"", ""revealing"", ""zoom"", ""impactful"", ""bold"", ""high-end"", ""smooth""]",,,text_Image/Image_Stroll.html,"[""elegant"", ""refined"", ""minimal"", ""understated"", ""sophisticated"", ""clean"", ""gradual"", ""flowing"", ""continuous"", ""staggered"", ""cascading"", ""revealing"", ""zoom""]",2026-08-30T13:54:37,continuous,bold
pointer-scale-scroll-blur,,"[""elegant"", ""refined"", ""sophisticated"", ""high-end"", ""minimal"", ""clean"", ""smooth"", ""polished"", ""graphic"", ""interactive"", ""alive"", ""revealing"", ""soft"", ""gentle"", ""calm"", ""subtle""]",,,text_Image/pointer-scale-scroll-blur.html,"[""elegant"", ""refined"", ""sophisticated"", ""high-end"", ""minimal"", ""clean"", ""smooth"", ""polished"", ""graphic"", ""interactive"", ""alive"", ""zoom"", ""revealing""]",2026-08-30T13:55:01,pointer move,edgy
pointer-track-scroll-fade,,"[""elegant"", ""sophisticated"", ""high-end"", ""refined"", ""minimal"", ""clean"", ""graphic"", ""smooth"", ""playful"", ""interactive"", ""alive"", ""revealing"", ""subtle"", ""modern"", ""gentle"", ""soft"", ""calm""]",,,text_Image/pointer-track-scroll-fade.html,"[""elegant"", ""sophisticated"", ""high-end"", ""refined"", ""minimal"", ""clean"", ""bold"", ""graphic"", ""smooth"", ""playful"", ""interactive"", ""alive"", ""revealing""]",2026-08-30T14:03:37,pointer move,alive
scroll-blur-split-layout,,"[""elegant"", ""sophisticated"", ""high-end"", ""classic"", ""refined"", ""minimal"", ""clean"", ""graphic"", ""gradual"", ""flowing"", ""continuous"", ""revealing"", ""soft"", ""subtle"", ""understated"", ""calm"", ""cloudy"", ""transformative""]",,,text_Image/scroll-blur-split-layout.html,"[""elegant"", ""sophisticated"", ""high-end"", ""interactive"", ""classic"", ""refined"", ""minimal"", ""clean"", ""graphic"", ""gradual"", ""flowing"", ""continuous"", ""revealing""]",2026-08-30T14:04:06,transformative,cloudy
scroll-perspective-hero,,"[""impactful"", ""futuristic"", ""immersive"", ""dynamic"", ""energetic"", ""attention-grabbing"", ""graphic"", ""edgy"", ""3d"", ""depth"", ""perspective"", ""zoom"", ""layered"", ""cool""]",,,text_Image/scroll-perspective-hero.html,"[""bold"", ""impactful"", ""futuristic"", ""immersive"", ""dynamic"", ""energetic"", ""attention-grabbing"", ""graphic"", ""edgy"", ""3d"", ""depth"", ""perspective"", ""zoom""]",2026-08-30T14:05:48,depth,cool
